,Winner,R_fighter,Fighter,Height,Reach,Stance,Weight,age,loss,win,draws,streak,cum_match_time,avg_cum_KD,avg_cum_Sub. att,avg_cum_Pass,avg_cum_Rev.,avg_cum_Sig. str. Hits,avg_cum_Sig. str. Attempts,avg_cum_Total str. Hits,avg_cum_Total str. Attempts,avg_cum_Td Hits,avg_cum_Td Attempts,avg_cum_Head Hits,avg_cum_Head Attempts,avg_cum_Body Hits,avg_cum_Body Attempts,avg_cum_Leg Hits,avg_cum_Leg Attempts,avg_cum_Distance Hits,avg_cum_Distance Attempts,avg_cum_Clinch Hits,avg_cum_Clinch Attempts,avg_cum_Ground Hits,avg_cum_Ground Attempts,eff_sig_str,eff_hits,eff_tds,eff_head,eff_leg,eff_body,eff_distance,eff_clinch,eff_ground,Fighter.1,Height.1,Reach.1,Stance.1,Weight.1,age.1,loss.1,win.1,draws.1,streak.1,cum_match_time.1,avg_cum_KD.1,avg_cum_Sub. att.1,avg_cum_Pass.1,avg_cum_Rev..1,avg_cum_Sig. str. Hits.1,avg_cum_Sig. str. Attempts.1,avg_cum_Total str. Hits.1,avg_cum_Total str. Attempts.1,avg_cum_Td Hits.1,avg_cum_Td Attempts.1,avg_cum_Head Hits.1,avg_cum_Head Attempts.1,avg_cum_Body Hits.1,avg_cum_Body Attempts.1,avg_cum_Leg Hits.1,avg_cum_Leg Attempts.1,avg_cum_Distance Hits.1,avg_cum_Distance Attempts.1,avg_cum_Clinch Hits.1,avg_cum_Clinch Attempts.1,avg_cum_Ground Hits.1,avg_cum_Ground Attempts.1,eff_sig_str.1,eff_hits.1,eff_tds.1,eff_head.1,eff_leg.1,eff_body.1,eff_distance.1,eff_clinch.1,eff_ground.1,WEIGHT_CLASS,title_bout,location,attendance,num_rounds,label,matches,matches.1
2081,win,Kailin Curran,Kailin Curran,64,65, Orthodox,115,24.68,2.0,0.0,0.0,-2.0,26.15,0.0,0.0,1.91,0.0,41.68,91.4,70.75,125.43,2.68,3.44,24.47,69.22,10.33,13.77,6.88,8.41,22.94,58.51,12.24,24.47,6.5,8.41,0.46,0.56,0.78,0.35,0.82,0.75,0.39,0.5,0.77,Emily Peters Kagan,63,66,,115,34.43,1.0,0.0,0.0,-1.0,15.0,0.0,0.0,0.0,0.0,27.33,60.67,40.0,75.33,1.33,8.0,10.0,34.67,7.33,14.0,10.0,12.0,17.33,46.67,10.0,14.0,0.0,0.0,0.45,0.53,0.17,0.29,0.83,0.52,0.37,0.71,0.0,Women's Strawweight,0.0,"Las Vegas, Nevada, USA",1643.0,3,0,3.0,2.0
2082,win,Benson Henderson,Benson Henderson,69,70, Southpaw,170,32.05,3.0,10.0,0.0,1.0,227.44000000000003,0.13,0.44,0.97,0.04,32.54,72.77,50.69,92.95,1.28,2.33,14.07,49.07,9.8,12.71,8.66,10.99,20.18,53.82,5.76,8.53,6.6,10.42,0.45,0.55,0.55,0.29,0.79,0.77,0.38,0.68,0.63,Jorge Masvidal,61,74, Orthodox,170,31.06,2.0,6.0,0.0,1.0,104.35000000000001,0.19,0.38,1.15,0.1,37.95,76.67,54.91,96.02,1.15,1.82,24.63,59.7,9.1,11.12,4.22,5.85,25.78,56.83,5.75,7.76,6.42,12.07,0.49,0.57,0.63,0.41,0.72,0.82,0.45,0.74,0.53,Welterweight,0.0,"Seoul, South Korea",12156.0,5,0,14.0,9.0
2083,win,Dong Hyun Kim,Dominic Waters,73,79, Orthodox,170,26.65,1.0,0.0,0.0,-1.0,15.0,0.0,0.0,2.67,0.0,8.67,35.33,21.33,48.0,3.33,3.33,8.0,34.0,0.67,0.67,0.0,0.67,6.67,32.67,0.67,1.33,1.33,1.33,0.25,0.44,1.0,0.24,0.0,1.0,0.2,0.5,1.0,Dong Hyun Kim,74,76, Southpaw,170,34.05,3.0,11.0,1.0,1.0,166.46000000000004,0.24,0.48,2.64,0.12,21.81,41.81,56.41,79.36,1.98,4.51,16.7,35.38,2.04,2.52,3.06,3.9,6.79,19.52,4.33,5.41,10.69,16.88,0.52,0.71,0.44,0.47,0.78,0.81,0.35,0.8,0.63,Welterweight,0.0,"Seoul, South Korea",12156.0,3,1,2.0,16.0
2084,win,Alberto Mina,Alberto Mina,72,77, Orthodox,170,33.6,0.0,1.0,0.0,1.0,4.28,2.34,0.0,2.34,2.34,79.44,135.51,88.79,144.86,0.0,4.67,70.09,123.83,9.35,11.68,0.0,0.0,51.4,102.8,7.01,11.68,21.03,21.03,0.59,0.61,0.0,0.57,0.0,0.8,0.5,0.6,1.0,Yoshihiro Akiyama,61,73, Orthodox,170,40.36,4.0,2.0,0.0,1.0,76.53999999999999,0.0,0.13,1.18,0.0,29.14,81.79,42.98,98.38,1.57,2.48,24.69,75.78,2.35,3.14,2.09,2.87,22.6,68.85,1.05,2.22,5.49,10.71,0.36,0.44,0.63,0.33,0.73,0.75,0.33,0.47,0.51,Welterweight,0.0,"Seoul, South Korea",12156.0,3,0,2.0,7.0
2085,win,Dooho Choi,Sam Sicilia,68,67, Orthodox,145,29.84,4.0,5.0,0.0,2.0,80.81,0.12,0.74,1.24,0.12,26.98,72.39,40.96,87.98,1.24,2.6,18.31,59.89,5.69,8.54,2.97,3.96,16.46,56.68,3.71,5.94,6.81,9.78,0.37,0.47,0.48,0.31,0.75,0.67,0.29,0.62,0.7,Dooho Choi,61,70, Orthodox,145,24.65,0.0,1.0,0.0,1.0,0.3,33.33,0.0,0.0,0.0,333.33,500.0,333.33,500.0,0.0,0.0,333.33,500.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,0.0,233.33,300.0,0.67,0.67,0.0,0.67,0.0,0.0,0.5,0.0,0.78,Featherweight,0.0,"Seoul, South Korea",12156.0,3,1,10.0,2.0
2086,win,Dongi Yang,Jake Collier,75,78, Orthodox,205,27.11,1.0,1.0,0.0,1.0,19.98,0.0,0.5,1.5,0.0,41.04,123.12,53.05,138.14,1.0,1.5,23.52,94.59,11.01,18.02,6.51,10.51,37.04,112.61,4.0,10.51,0.0,0.0,0.33,0.38,0.67,0.25,0.62,0.61,0.33,0.38,0.0,Dongi Yang,61,71, Southpaw,185,30.99,3.0,1.0,0.0,-2.0,54.78,0.37,0.37,2.01,0.18,34.68,70.46,54.76,96.39,1.1,2.01,24.46,58.05,4.75,6.02,5.48,6.39,23.73,58.05,1.46,1.46,9.49,10.95,0.49,0.57,0.55,0.42,0.86,0.79,0.41,1.0,0.87,Middleweight,0.0,"Seoul, South Korea",12156.0,3,1,3.0,5.0
2087,win,Mike de la Torre,Mike de la Torre,61,71, Orthodox,145,29.2,2.0,1.0,1.0,-1.0,19.9,0.5,0.0,0.0,0.0,40.2,112.06,91.96,167.34,0.5,2.01,31.16,100.5,8.54,11.06,0.5,0.5,24.12,92.46,11.56,14.07,4.52,5.53,0.36,0.55,0.25,0.31,1.0,0.77,0.26,0.82,0.82,Yui Chul Nam,69,69, Orthodox,145,34.39,1.0,1.0,0.0,-1.0,30.0,1.0,0.33,2.0,0.0,35.33,63.33,55.0,88.33,1.0,1.33,26.0,51.0,4.33,6.33,5.0,6.0,6.0,14.33,17.67,26.0,11.67,23.0,0.56,0.62,0.75,0.51,0.83,0.68,0.42,0.68,0.51,Featherweight,0.0,"Seoul, South Korea",12156.0,3,0,5.0,3.0
2088,win,Tae Hyun Bang,Leo Kuntz,61,74, Orthodox,155,32.18,1.0,0.0,0.0,-1.0,7.63,0.0,0.0,0.0,0.0,9.17,32.77,14.42,39.32,0.0,0.0,2.62,18.35,1.31,5.24,5.24,9.17,9.17,31.45,0.0,1.31,0.0,0.0,0.28,0.37,0.0,0.14,0.57,0.25,0.29,0.0,0.0,Tae Hyun Bang,69,71, Switch,155,32.64,2.0,1.0,0.0,-1.0,30.95,0.65,0.0,0.65,0.65,23.26,66.88,26.82,70.44,0.32,0.97,18.42,58.8,2.91,4.85,1.94,3.23,19.71,59.13,0.65,3.23,2.91,4.52,0.35,0.38,0.33,0.31,0.6,0.6,0.33,0.2,0.64,Lightweight,0.0,"Seoul, South Korea",12156.0,3,1,2.0,4.0
2089,win,Seohee Ham,Seohee Ham,62,62, Southpaw,115,28.75,1.0,0.0,0.0,-1.0,15.0,0.0,0.0,0.0,0.0,38.67,74.0,42.0,77.33,0.0,2.0,14.67,40.0,11.33,14.67,12.67,19.33,33.33,64.67,5.33,9.33,0.0,0.0,0.52,0.54,0.0,0.37,0.66,0.77,0.52,0.57,0.0,Cortney Casey,67,67, Orthodox,115,28.59,1.0,0.0,0.0,-1.0,15.0,0.0,0.0,0.0,0.0,38.0,61.33,70.67,98.0,0.0,0.0,32.67,55.33,2.67,3.33,2.67,2.67,26.0,44.0,6.0,9.33,6.0,8.0,0.62,0.72,0.0,0.59,1.0,0.8,0.59,0.64,0.75,Women's Strawweight,0.0,"Seoul, South Korea",12156.0,3,0,2.0,2.0
2090,win,Fredy Serrano,Fredy Serrano,63,65, Orthodox,125,36.21,0.0,1.0,0.0,1.0,11.57,0.86,0.0,0.86,0.0,17.29,84.7,17.29,84.7,1.73,6.91,13.83,75.19,2.59,7.78,0.86,1.73,16.42,80.38,0.86,4.32,0.0,0.0,0.2,0.2,0.25,0.18,0.5,0.33,0.2,0.2,0.0,Yao Zhikui,65,64, Orthodox,125,24.82,1.0,1.0,0.0,1.0,30.0,0.0,0.0,0.0,0.67,12.0,58.33,39.67,88.0,0.33,2.0,11.0,56.67,0.67,1.33,0.33,0.33,8.33,48.33,2.0,5.0,1.67,5.0,0.21,0.45,0.17,0.19,1.0,0.5,0.17,0.4,0.33,Flyweight,0.0,"Seoul, South Korea",12156.0,3,0,2.0,3.0
2091,win,Marco Beltran,Ning Guangyou,64,64, Southpaw,145,33.98,0.0,2.0,0.0,2.0,24.98,0.0,0.4,1.2,0.0,30.82,73.26,47.24,93.27,1.6,2.0,17.21,52.84,6.41,10.81,7.21,9.61,26.82,67.25,1.2,2.0,2.8,4.0,0.42,0.51,0.8,0.33,0.75,0.59,0.4,0.6,0.7,Marco Beltran,68,69, Orthodox,125,29.55,0.0,1.0,0.0,1.0,15.0,0.0,0.0,1.33,0.67,20.67,41.33,46.67,69.33,0.67,2.67,14.67,33.33,2.67,4.67,3.33,3.33,6.67,19.33,4.0,5.33,10.0,16.67,0.5,0.67,0.25,0.44,1.0,0.57,0.34,0.75,0.6,Bantamweight,0.0,"Seoul, South Korea",12156.0,3,1,3.0,2.0
2092,win,Dominique Steele,Dominique Steele,61,74, Orthodox,170,27.85,1.0,0.0,0.0,-1.0,0.72,0.0,0.0,0.0,0.0,27.78,27.78,27.78,27.78,0.0,0.0,13.89,13.89,13.89,13.89,0.0,0.0,27.78,27.78,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Dong Hyun Ma,61,70, Orthodox,155,27.24,0.0,0.0,0.0,0.0,10.45,0.0,0.0,0.0,0.0,18.18,40.19,49.76,75.6,0.0,2.87,7.66,24.88,9.57,14.35,0.96,0.96,9.57,22.97,8.61,17.22,0.0,0.0,0.45,0.66,0.0,0.31,1.0,0.67,0.42,0.5,0.0,Welterweight,0.0,"Seoul, South Korea",12156.0,3,0,2.0,1.0
2093,win,Neil Magny,Neil Magny,75,80, Orthodox,170,28.32,3.0,9.0,0.0,1.0,139.06,0.07,0.07,2.01,0.14,37.68,79.89,71.26,117.22,1.94,3.81,26.61,65.66,6.4,8.56,4.67,5.68,20.42,55.59,9.13,12.08,8.13,12.22,0.47,0.61,0.51,0.41,0.82,0.75,0.37,0.76,0.66,Kelvin Gastelum,69,71, Southpaw,185,24.09,1.0,6.0,0.0,1.0,77.2,0.13,0.26,1.55,0.39,36.01,90.28,58.16,116.84,0.91,1.81,22.67,72.54,7.9,11.27,5.44,6.48,27.2,76.04,5.44,9.2,3.37,5.05,0.4,0.5,0.5,0.31,0.84,0.7,0.36,0.59,0.67,Welterweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,5,0,13.0,8.0
2094,win,Ricardo Lamas,Ricardo Lamas,68,71, Orthodox,145,33.53,2.0,6.0,0.0,-1.0,80.52999999999999,0.25,0.87,0.62,0.37,23.47,59.36,36.76,73.02,0.99,4.1,9.31,38.12,6.21,7.82,7.95,13.41,13.66,45.82,5.09,5.59,4.72,7.95,0.4,0.5,0.24,0.24,0.59,0.79,0.3,0.91,0.59,Diego Sanchez,61,72, Southpaw,170,33.91,7.0,14.0,0.0,1.0,277.96000000000004,0.22,0.65,1.19,0.11,27.09,78.28,35.72,88.36,0.9,4.82,19.43,66.99,6.22,9.39,1.44,1.91,16.48,59.54,2.91,5.29,7.7,13.46,0.35,0.4,0.19,0.29,0.75,0.66,0.28,0.55,0.57,Featherweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,0,9.0,22.0
2095,win,Henry Cejudo,Henry Cejudo,64,64, Orthodox,135,28.8,0.0,3.0,0.0,3.0,45.0,0.22,0.22,1.56,0.0,40.89,84.67,71.11,117.78,1.56,5.33,24.44,62.89,14.67,19.78,1.78,2.0,25.78,60.67,10.22,16.44,4.89,7.56,0.48,0.6,0.29,0.39,0.89,0.74,0.42,0.62,0.65,Jussier Formiga,65,67, Orthodox,125,30.62,2.0,4.0,0.0,3.0,60.82,0.16,0.16,2.3,0.0,10.85,30.58,24.33,46.2,1.81,4.27,8.88,27.79,1.15,1.97,0.82,0.82,7.56,25.81,0.99,1.32,2.3,3.45,0.35,0.53,0.42,0.32,1.0,0.58,0.29,0.75,0.67,Flyweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,0,4.0,7.0
2096,win,Erick Montano,Enrique Marin,61,74,,170,29.24,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.33,18.0,62.67,22.0,68.0,0.67,2.0,10.67,53.33,2.0,2.67,5.33,6.67,16.0,59.33,2.0,2.67,0.0,0.67,0.29,0.32,0.33,0.2,0.8,0.75,0.27,0.75,0.0,Erick Montano,72,73, Orthodox,170,30.02,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.67,0.67,32.67,77.33,39.33,84.0,1.33,2.0,18.67,47.33,4.0,8.0,10.0,22.0,30.67,73.33,1.33,3.33,0.67,0.67,0.42,0.47,0.67,0.39,0.45,0.5,0.42,0.4,1.0,Welterweight,1.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,1,1.0,1.0
2097,win,Enrique Barzola,Enrique Barzola,67,70,,145,26.58,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.67,0.0,25.33,47.33,115.33,147.33,3.33,6.0,20.67,42.0,4.0,4.67,0.67,0.67,4.0,8.0,1.33,1.33,20.0,38.0,0.54,0.78,0.56,0.49,1.0,0.86,0.5,1.0,0.53,Horacio Gutierrez,61,69,,145,25.2,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.67,25.33,10.67,30.0,0.0,0.0,4.0,20.0,0.0,0.0,2.67,5.33,4.0,21.33,2.67,4.0,0.0,0.0,0.26,0.36,0.0,0.2,0.5,0.0,0.19,0.67,0.0,Lightweight,1.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,0,1.0,1.0
2098,win,Leandro Silva,Leandro Silva,69,72, Orthodox,155,30.05,2.0,2.0,1.0,1.0,57.0,0.0,0.53,1.93,0.0,23.33,40.53,38.77,56.32,1.75,4.74,10.88,23.86,5.61,8.42,6.84,8.25,20.18,36.84,3.16,3.68,0.0,0.0,0.58,0.69,0.37,0.46,0.83,0.67,0.55,0.86,0.0,Efrain Escudero,69,70, Orthodox,155,29.87,5.0,5.0,0.0,2.0,118.9,0.42,0.67,0.59,0.08,28.68,66.69,55.0,95.63,0.84,1.51,18.25,52.82,4.04,5.72,6.39,8.16,17.49,49.54,6.22,10.18,4.96,6.98,0.43,0.58,0.56,0.35,0.78,0.71,0.35,0.61,0.71,Lightweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,0,6.0,11.0
2099,win,Erik Perez,Taylor Lapilus,66,73, Southpaw,135,23.64,0.0,2.0,0.0,2.0,21.43,0.47,0.47,0.0,0.47,51.8,94.73,71.86,115.73,0.93,1.87,32.2,72.33,14.47,16.8,5.13,5.6,26.6,65.8,19.6,21.47,5.6,7.47,0.55,0.62,0.5,0.45,0.92,0.86,0.4,0.91,0.75,Erik Perez,68,68, Orthodox,135,26.02,2.0,4.0,0.0,-1.0,45.279999999999994,0.66,0.22,1.55,0.44,36.22,79.06,67.8,115.72,2.87,4.64,19.21,55.43,11.7,17.01,5.3,6.63,17.67,52.34,8.17,11.93,10.38,14.8,0.46,0.59,0.62,0.35,0.8,0.69,0.34,0.69,0.7,Bantamweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,1,3.0,7.0
2100,win,Bartosz Fabinski,Hector Urbina,61,73, Orthodox,170,28.2,0.0,1.0,0.0,1.0,3.63,0.0,5.51,2.75,2.75,11.02,19.28,19.28,27.55,0.0,0.0,2.75,5.51,2.75,5.51,5.51,8.26,8.26,16.53,0.0,0.0,2.75,2.75,0.57,0.7,0.0,0.5,0.67,0.5,0.5,0.0,1.0,Bartosz Fabinski,72,75, Orthodox,170,29.59,0.0,1.0,0.0,1.0,15.0,0.0,0.0,4.67,0.0,27.33,35.33,77.33,88.0,6.67,7.33,8.0,15.33,14.67,15.33,4.67,4.67,2.67,6.67,24.67,26.0,0.0,2.67,0.77,0.88,0.91,0.52,1.0,0.96,0.4,0.95,0.0,Welterweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,1,2.0,2.0
2101,win,Alejandro Perez,Scott Jorgensen,65,66, Orthodox,135,33.2,7.0,4.0,0.0,-2.0,118.03,0.08,0.17,1.1,0.25,32.36,81.5,44.31,94.89,1.61,3.9,21.6,68.54,5.34,6.95,5.42,6.02,24.15,69.9,5.25,7.54,2.97,4.07,0.4,0.47,0.41,0.32,0.9,0.77,0.35,0.7,0.73,Alejandro Perez,66,67, Orthodox,135,26.24,1.0,1.0,0.0,-1.0,15.38,0.0,0.65,0.65,0.0,24.71,85.18,27.96,88.43,0.65,1.95,12.35,60.47,1.95,3.25,10.4,21.46,24.71,82.57,0.0,2.6,0.0,0.0,0.29,0.32,0.33,0.2,0.48,0.6,0.3,0.0,0.0,Bantamweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,1,12.0,3.0
2102,win,Andre Fili,Gabriel Benitez,68,71, Southpaw,145,27.45,0.0,2.0,0.0,2.0,25.5,0.0,2.35,0.39,0.0,32.55,65.49,50.59,84.31,0.0,0.0,10.98,37.65,13.73,18.43,7.84,9.41,29.02,59.61,1.96,3.92,1.57,1.96,0.5,0.6,0.0,0.29,0.83,0.74,0.49,0.5,0.8,Andre Fili,61,74, Orthodox,145,25.42,2.0,2.0,0.0,-1.0,37.76,0.0,0.26,1.06,0.53,37.61,93.22,47.14,105.4,2.38,5.56,22.78,70.97,9.0,14.3,5.83,7.94,25.16,71.5,6.62,10.06,5.83,11.65,0.4,0.45,0.43,0.32,0.73,0.63,0.35,0.66,0.5,Featherweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,1,3.0,5.0
2103,win,Alvaro Herrera,Vernon Ramos,66,72, Orthodox,170,23.48,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,40.0,160.0,40.0,160.0,0.0,0.0,0.0,60.0,0.0,20.0,40.0,80.0,40.0,160.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,Alvaro Herrera,72,74,,155,25.54,0.0,0.0,0.0,0.0,0.5,20.0,0.0,0.0,0.0,80.0,180.0,80.0,180.0,0.0,0.0,80.0,180.0,0.0,0.0,0.0,0.0,60.0,160.0,0.0,0.0,20.0,20.0,0.44,0.44,0.0,0.44,0.0,0.0,0.38,0.0,1.0,Welterweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,1,1.0,1.0
2104,win,Polo Reyes,Cesar Arzamendia,61,71,,155,24.82,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,43.24,124.32,62.16,145.95,8.11,10.81,18.92,89.19,18.92,29.73,5.41,5.41,27.03,94.59,16.22,24.32,0.0,5.41,0.35,0.43,0.75,0.21,1.0,0.64,0.29,0.67,0.0,Polo Reyes,61,71,,155,31.06,0.0,0.0,0.0,0.0,3.7,2.7,0.0,0.0,0.0,27.03,83.78,40.54,97.3,0.0,0.0,24.32,72.97,2.7,8.11,0.0,2.7,16.22,70.27,5.41,8.11,5.41,5.41,0.32,0.42,0.0,0.33,0.0,0.33,0.23,0.67,1.0,Lightweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,1,1.0,1.0
2105,win,Michel Prazeres,Valmir Lazaro,72,73, Orthodox,155,30.29,1.0,1.0,0.0,1.0,30.0,0.0,0.0,0.33,0.0,59.33,161.67,61.0,163.33,1.33,3.33,41.33,133.67,10.33,18.67,7.67,9.33,53.0,151.0,6.33,10.67,0.0,0.0,0.37,0.37,0.4,0.31,0.82,0.55,0.35,0.59,0.0,Michel Prazeres,66,67, Orthodox,170,34.35,2.0,2.0,0.0,-1.0,60.0,0.17,0.0,2.67,0.0,19.5,43.67,31.67,58.17,2.67,7.83,13.83,36.17,2.17,3.83,3.5,3.67,15.67,38.5,2.17,3.33,1.67,1.83,0.45,0.54,0.34,0.38,0.95,0.57,0.41,0.65,0.91,Lightweight,0.0,"Monterrey, Nuevo Leon, Mexico",10410.0,3,1,3.0,5.0
2106,win,Holly Holm,Holly Holm,68,69, Southpaw,135,34.1,0.0,2.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,36.33,129.33,39.33,132.67,0.33,0.33,14.67,89.0,16.0,27.67,5.67,12.67,30.67,120.33,5.67,8.33,0.0,0.67,0.28,0.3,1.0,0.16,0.45,0.58,0.25,0.68,0.0,Ronda Rousey,67,68, Orthodox,135,28.8,0.0,6.0,0.0,6.0,17.96,1.11,2.78,3.9,0.56,52.34,82.41,127.51,160.91,4.45,5.57,35.63,64.59,10.58,11.69,6.12,6.12,10.58,30.07,25.61,33.41,16.15,18.93,0.64,0.79,0.8,0.55,1.0,0.9,0.35,0.77,0.85,Women's Bantamweight,1.0,"Melbourne, Victoria, Australia",56214.0,5,0,3.0,7.0
2107,win,Joanna Jedrzejczyk,Joanna Jedrzejczyk,66,65, Orthodox,115,28.26,0.0,4.0,0.0,4.0,53.65,0.19,0.0,0.0,0.0,49.02,112.21,59.46,124.51,0.0,0.0,32.62,90.59,11.18,15.66,5.22,5.96,33.92,90.03,12.49,18.27,2.61,3.91,0.44,0.48,0.0,0.36,0.88,0.71,0.38,0.68,0.67,Valerie Letourneau,67,68, Orthodox,115,32.57,0.0,3.0,0.0,3.0,45.0,0.22,0.44,1.11,0.22,46.89,120.89,58.22,135.11,0.67,1.11,34.0,102.44,9.11,12.89,3.78,5.56,40.67,106.89,5.33,12.22,0.89,1.78,0.39,0.43,0.6,0.33,0.68,0.71,0.38,0.44,0.5,Women's Strawweight,1.0,"Melbourne, Victoria, Australia",56214.0,5,0,5.0,4.0
2108,win,Mark Hunt,Antonio Silva,76,80, Orthodox,264,36.19,4.0,3.0,1.0,1.0,54.15,0.74,0.0,0.55,0.0,29.18,55.96,44.88,74.61,0.0,1.48,18.28,41.74,4.99,6.83,5.91,7.39,18.28,38.78,7.2,11.08,3.69,6.09,0.52,0.6,0.0,0.44,0.8,0.73,0.47,0.65,0.61,Mark Hunt,61,72, Orthodox,265,41.67,4.0,5.0,1.0,-2.0,114.17,0.53,0.09,0.7,0.09,28.64,64.9,46.33,84.44,0.61,1.14,25.05,59.91,1.66,2.45,1.93,2.54,24.17,58.86,1.4,2.01,3.07,4.03,0.44,0.55,0.54,0.42,0.76,0.68,0.41,0.7,0.76,Heavyweight,0.0,"Melbourne, Victoria, Australia",56214.0,3,1,9.0,11.0
2109,win,Robert Whittaker,Uriah Hall,72,79, Orthodox,185,31.31,3.0,5.0,0.0,2.0,76.57000000000001,0.39,0.26,0.13,0.39,32.13,59.42,42.58,71.18,0.91,2.09,17.37,40.36,6.4,10.06,8.36,9.01,21.68,45.32,3.53,4.31,6.92,9.79,0.54,0.6,0.44,0.43,0.93,0.64,0.48,0.82,0.71,Robert Whittaker,72,73, Orthodox,185,24.92,2.0,5.0,0.0,3.0,67.85000000000001,0.88,0.0,0.44,0.0,48.34,127.63,54.24,134.12,0.44,0.59,40.09,116.58,4.42,6.78,3.83,4.27,39.65,112.75,5.16,8.99,3.54,5.9,0.38,0.4,0.75,0.34,0.9,0.65,0.35,0.57,0.6,Middleweight,0.0,"Melbourne, Victoria, Australia",56214.0,3,1,9.0,8.0
2110,win,Jared Rosholt,Jared Rosholt,74,75, Orthodox,265,29.3,1.0,5.0,0.0,2.0,76.55,0.0,0.13,1.96,0.0,22.21,42.46,61.53,86.48,1.18,2.87,13.72,32.66,5.36,6.4,3.14,3.4,6.27,21.16,6.66,9.01,9.27,12.28,0.52,0.71,0.41,0.42,0.92,0.84,0.3,0.74,0.76,Stefan Struve,73,84, Orthodox,265,27.76,5.0,10.0,0.0,1.0,99.81,0.2,1.9,1.1,0.5,35.87,72.44,52.7,93.28,0.3,0.4,19.54,53.8,7.51,8.82,8.82,9.82,30.06,62.62,2.2,4.11,3.61,5.71,0.5,0.56,0.75,0.36,0.9,0.85,0.48,0.54,0.63,Heavyweight,0.0,"Melbourne, Victoria, Australia",56214.0,3,0,7.0,16.0
2111,win,Jake Matthews,Jake Matthews,61,73, Orthodox,170,21.25,1.0,2.0,0.0,-1.0,25.02,0.0,0.8,1.6,0.0,35.97,70.34,69.14,105.52,2.4,6.0,28.78,61.15,2.8,4.8,4.4,4.4,12.39,43.57,4.0,4.4,19.58,22.38,0.51,0.66,0.4,0.47,1.0,0.58,0.28,0.91,0.88,Akbarh Arreola,61,71, Southpaw,155,32.85,2.0,1.0,0.0,-1.0,31.87,0.31,0.31,1.26,0.0,23.85,54.28,38.91,70.91,0.94,0.94,10.67,36.71,7.84,10.35,5.33,7.22,19.14,48.01,1.26,1.88,3.45,4.39,0.44,0.55,1.0,0.29,0.74,0.76,0.4,0.67,0.79,Lightweight,0.0,"Melbourne, Victoria, Australia",56214.0,3,0,4.0,4.0
2112,win,Kyle Noke,Peter Sobotta,72,75, Southpaw,170,28.86,3.0,2.0,0.0,2.0,62.95,0.0,0.48,1.27,0.16,19.06,53.38,36.22,72.12,1.27,3.97,9.21,40.35,4.61,7.15,5.24,5.88,15.73,47.66,1.91,4.13,1.43,1.59,0.36,0.5,0.32,0.23,0.89,0.64,0.33,0.46,0.9,Kyle Noke,73,76, Southpaw,170,35.68,3.0,5.0,0.0,1.0,66.33,0.3,0.6,1.81,0.15,32.41,59.4,41.31,69.05,1.21,2.26,16.58,38.29,6.03,8.59,9.8,12.51,20.81,42.51,2.56,3.77,9.05,13.12,0.55,0.6,0.53,0.43,0.78,0.7,0.49,0.68,0.69,Welterweight,0.0,"Melbourne, Victoria, Australia",56214.0,3,1,6.0,9.0
2113,win,Gian Villante,Anthony Perosh,75,75, Orthodox,205,43.14,6.0,5.0,0.0,-1.0,63.629999999999995,0.31,0.79,2.36,0.0,22.79,49.98,33.0,61.61,1.41,6.29,19.02,46.05,0.47,0.63,3.3,3.3,9.12,28.76,3.61,5.66,10.06,15.56,0.46,0.54,0.23,0.41,1.0,0.75,0.32,0.64,0.65,Gian Villante,75,76, Orthodox,205,30.26,3.0,3.0,0.0,-1.0,66.67,0.15,0.0,0.6,0.0,44.7,93.0,53.85,103.19,0.75,2.85,24.15,67.5,5.85,8.4,14.7,17.1,37.35,82.95,4.95,7.05,2.4,3.0,0.48,0.52,0.26,0.36,0.86,0.7,0.45,0.7,0.8,Light Heavyweight,0.0,"Melbourne, Victoria, Australia",56214.0,3,1,12.0,7.0
